time;position;rotationE;rotationQ
2022-05-20T14:11:49Z;(0.01216268,2.489398,-0.1615756);(353.3962,276.6872,359.3815);(0.7456865,-0.0394508,-0.6637812,-0.04230781)
2022-05-20T14:11:49Z;(0.01043249,2.190978,-0.1597213);(354.053,276.0133,359.1425);(0.7419415,-0.03355309,-0.6684132,-0.04025945)
2022-05-20T14:11:49Z;(0.009028446,2.189787,-0.1574484);(354.55,275.8416,358.922);(0.7410472,-0.02898795,-0.669702,-0.03883384)
2022-05-20T14:11:49Z;(0.008340128,2.188898,-0.1555549);(354.9409,276.1456,358.8665);(0.7429413,-0.02623146,-0.667827,-0.03684012)
2022-05-20T14:11:49Z;(0.008264536,2.188483,-0.1530411);(355.2329,276.1987,358.8331);(0.7433386,-0.02415862,-0.6675438,-0.0353458)
2022-05-20T14:11:49Z;(0.007938633,2.187921,-0.1510683);(355.5677,276.1191,358.5117);(0.7428855,-0.02008772,-0.6681749,-0.03549619)
2022-05-20T14:11:50Z;(0.007393833,2.186811,-0.1490104);(356.1501,275.9821,358.2485);(0.7421905,-0.01473352,-0.6691726,-0.03382798)
2022-05-20T14:11:50Z;(-0.1825264,2.180219,-0.132124);(356.4699,275.5532,358.2467);(0.7397757,-0.01252956,-0.6719745,-0.03202105)
2022-05-20T14:11:50Z;(-0.5840869,2.193459,-0.1044789);(356.9107,275.1329,358.1081);(0.7373914,-0.008757262,-0.674726,-0.03036596)
2022-05-20T14:11:50Z;(-0.8461884,2.201695,-0.1168641);(357.225,273.947,358.2287);(0.7304811,-0.007155486,-0.6823286,-0.02781614)
2022-05-20T14:11:50Z;(-0.7985416,2.201161,-0.1120487);(357.3094,260.1146,358.1846);(0.6430107,-0.002984862,-0.7653334,-0.02815959)
2022-05-20T14:11:50Z;(-0.7391799,2.19952,-0.1063767);(357.4082,253.9992,358.1223);(0.6012791,-0.0005258936,-0.7985511,-0.02791761)
2022-05-20T14:11:50Z;(-0.9074231,2.202337,-0.2619655);(357.5192,254.3079,358.1198);(0.603453,1.244247E-06,-0.796936,-0.02715777)
2022-05-20T14:11:50Z;(-1.025728,2.204477,-0.3556078);(357.5109,254.7943,358.2098);(0.6068491,-0.0007816553,-0.7943668,-0.02673845)
2022-05-20T14:11:50Z;(-1.221223,2.208598,-0.439642);(357.5516,266.607,358.3669);(0.6854151,-0.004283068,-0.7276997,-0.02531872)
2022-05-20T14:11:50Z;(-1.605242,2.219723,-0.5054834);(357.6677,276.1185,358.3722);(0.7434139,-0.005644842,-0.6683711,-0.02416505)
2022-05-20T14:11:51Z;(-1.916187,2.228187,-0.5359201);(358.2595,276.2057,358.2062);(0.7440092,-0.0008522775,-0.6678132,-0.02179114)
2022-05-20T14:11:51Z;(-2.3106,2.228805,-0.566103);(358.6836,277.4848,357.8325);(0.751425,0.00383761,-0.6594474,-0.02179144)
2022-05-20T14:11:51Z;(-2.680323,2.220387,-0.5885996);(358.3856,277.5488,357.8987);(0.7517495,0.001489108,-0.6590434,-0.02307262)
2022-05-20T14:11:51Z;(-3.038547,2.21093,-0.644136);(358.079,277.2549,357.9445);(0.7500027,-0.000723633,-0.6609792,-0.02453589)
2022-05-20T14:11:51Z;(-3.393141,2.199186,-0.7445824);(357.9817,277.1927,357.9818);(0.7496313,-0.001562777,-0.6613869,-0.0248533)
2022-05-20T14:11:51Z;(-3.722009,2.191859,-0.8165896);(357.9229,277.131,358.0469);(0.7492764,-0.002309735,-0.66179,-0.02476798)
2022-05-20T14:11:51Z;(-4.067176,2.180629,-0.8740642);(357.2793,277.0045,358.246);(0.7484422,-0.00764026,-0.6625984,-0.02718894)
2022-05-20T14:11:51Z;(-4.414579,2.168943,-0.9304205);(357.8812,276.9869,358.3325);(0.7484946,-0.004203403,-0.6627235,-0.02314656)
2022-05-20T14:11:51Z;(-4.764138,2.172784,-0.9828725);(357.8784,277.2478,358.2669);(0.7499874,-0.003895352,-0.6610203,-0.0235822)
2022-05-20T14:11:51Z;(-5.115484,2.176723,-1.03248);(357.5859,277.4871,358.4742);(0.7513474,-0.007056297,-0.6594363,-0.02389761)
2022-05-20T14:11:52Z;(-5.515594,2.177598,-1.089381);(357.8493,277.518,358.4843);(0.7515815,-0.005393297,-0.6592405,-0.02231477)
2022-05-20T14:11:52Z;(-5.857958,2.17881,-1.145472);(358.0767,277.5052,358.2917);(0.7515154,-0.002790421,-0.6593337,-0.02227105)
2022-05-20T14:11:52Z;(-6.208476,2.18076,-1.193202);(358.0146,277.5572,358.0426);(0.7517511,-0.001775493,-0.6589981,-0.02426089)
2022-05-20T14:11:52Z;(-6.562579,2.181489,-1.236711);(358.4818,277.6857,357.8315);(0.7525417,0.002479244,-0.6581395,-0.02296346)
2022-05-20T14:11:52Z;(-6.903935,2.175999,-1.292725);(358.5634,277.9404,357.4102);(0.7539302,0.005379364,-0.6564462,-0.02527367)
2022-05-20T14:11:52Z;(-7.228985,2.169218,-1.339489);(358.5009,278.0702,357.2227);(0.754617,0.00601084,-0.6555875,-0.02687151)
2022-05-20T14:11:52Z;(-7.538534,2.167586,-1.3293);(358.2585,277.9978,357.1155);(0.7541197,0.00504589,-0.6560787,-0.02895995)
2022-05-20T14:11:52Z;(-7.920849,2.166633,-1.281873);(359.2065,278.2207,356.9198);(0.7555588,0.01236018,-0.6544928,-0.02484872)
2022-05-20T14:11:52Z;(-8.361856,2.167361,-1.227533);(358.5916,278.3406,356.7188);(0.7560588,0.009422123,-0.6537619,-0.02969372)
2022-05-20T14:11:52Z;(-8.745391,2.173194,-1.224191);(358.4851,279.7542,356.635);(0.764017,0.008814964,-0.6443924,-0.03096466)
2022-05-20T14:11:53Z;(-9.184752,2.181912,-1.214684);(359.1696,284.3522,356.7738);(0.7894406,0.01154028,-0.6131384,-0.0266772)
2022-05-20T14:11:53Z;(-9.560015,2.193592,-1.191347);(0.1447377,284.3137,356.6164);(0.7893711,0.01910933,-0.6132048,-0.02253941)
2022-05-20T14:11:53Z;(-9.929837,2.199491,-1.167392);(359.685,284.4805,356.6371);(0.7901925,0.01579551,-0.6121497,-0.02488061)
2022-05-20T14:11:53Z;(-10.3512,2.189592,-1.140759);(359.738,284.2745,356.7159);(0.7891166,0.01578402,-0.6135705,-0.0240257)
2022-05-20T14:11:53Z;(-10.72177,2.182081,-1.119728);(359.6532,284.0091,356.8751);(0.7877122,0.01440123,-0.6154324,-0.02335014)
2022-05-20T14:11:53Z;(-11.09408,2.18655,-1.100444);(359.1184,283.8264,357.075);(0.7866766,0.009689816,-0.6167895,-0.02483154)
2022-05-20T14:11:53Z;(-11.46633,2.189715,-1.081132);(358.666,283.9485,357.423);(0.7873204,0.004683641,-0.6160238,-0.02488128)
2022-05-20T14:11:53Z;(-11.83906,2.192584,-1.061349);(358.6301,283.7894,357.4846);(0.78647,0.00414013,-0.6171228,-0.02464542)
2022-05-20T14:11:53Z;(-12.21218,2.198987,-1.042439);(358.9568,283.5267,357.579);(0.7851343,0.005925359,-0.6188983,-0.02222543)
2022-05-20T14:11:53Z;(-12.64161,2.206368,-1.005207);(358.8188,283.5568,357.6443);(0.7852848,0.004621051,-0.6187076,-0.02252421)
