time;position;rotationE;rotationQ
2022-05-23T10:57:10Z;(-0.004799008,2.01933,0.07587853);(10.07868,64.25134,354.6106);(0.8404813,0.04940316,0.5326342,-0.08632138)
2022-05-23T10:57:10Z;(-0.002314687,2.350968,0.0762568);(10.47075,64.00585,354.4961);(0.8411875,0.05195179,0.5308582,-0.08884771)
2022-05-23T10:57:10Z;(-0.001569513,2.350426,0.07647889);(10.548,63.80416,354.4893);(0.8420461,0.05264785,0.5293747,-0.08915739)
2022-05-23T10:57:10Z;(-0.001276255,2.349991,0.07680726);(10.81671,63.5535,354.5213);(0.8429826,0.05497786,0.5274968,-0.0900262)
2022-05-23T10:57:10Z;(-0.001500366,2.348854,0.07689639);(11.4055,63.05702,354.4132);(0.8446214,0.05924001,0.5238442,-0.0932344)
2022-05-23T10:57:10Z;(-0.001236439,2.347242,0.07655667);(11.94415,62.89772,354.3793);(0.8447942,0.06321152,0.5226336,-0.09581918)
2022-05-23T10:57:10Z;(-0.0008710623,2.345885,0.07650247);(12.4801,62.98365,354.4951);(0.843958,0.06764184,0.5231337,-0.09741945)
2022-05-23T10:57:10Z;(0.007853686,2.345603,0.080805);(12.81325,62.94846,354.4743);(0.8437555,0.0700466,0.5228386,-0.09904541)
2022-05-23T10:57:10Z;(0.288153,2.354619,0.2225938);(13.02862,63.05013,354.381);(0.8429823,0.07112762,0.5236112,-0.1007608)
2022-05-23T10:57:11Z;(0.663868,2.367119,0.3952744);(13.19819,63.43601,354.3676);(0.841021,0.07197972,0.5264281,-0.1018631)
2022-05-23T10:57:11Z;(1.042118,2.379281,0.5650743);(13.47004,63.67041,354.3322);(0.8396156,0.07361448,0.5281233,-0.1034996)
2022-05-23T10:57:11Z;(1.378388,2.393337,0.7194727);(13.48341,63.88071,354.2938);(0.8385955,0.07334559,0.5296855,-0.1039761)
2022-05-23T10:57:11Z;(1.552953,2.398478,0.7984337);(13.79728,64.2014,354.2296);(0.8367037,0.07506607,0.5320145,-0.1060791)
2022-05-23T10:57:11Z;(1.567272,2.39852,0.803333);(14.08102,64.60682,354.1406);(0.8344125,0.07635755,0.5349751,-0.1082914)
2022-05-23T10:57:11Z;(1.570828,2.398852,0.8009077);(13.94989,66.59967,354.2866);(0.8252698,0.0742111,0.5493385,-0.1079343)
2022-05-23T10:57:11Z;(1.722495,2.400898,0.8529305);(13.8065,67.16545,354.325);(0.8227435,0.07282501,0.553414,-0.1073437)
2022-05-23T10:57:11Z;(2.015343,2.398814,0.9170554);(13.58483,67.37165,354.2987);(0.8219664,0.07090156,0.5549586,-0.1066092)
2022-05-23T10:57:11Z;(2.341488,2.399543,0.9089354);(13.71561,67.63702,354.2434);(0.820483,0.07133009,0.5568664,-0.107793)
2022-05-23T10:57:11Z;(2.53201,2.394031,0.7886418);(13.63285,67.25579,354.2397);(0.8224188,0.07107122,0.5541535,-0.1071892)
2022-05-23T10:57:12Z;(2.837281,2.379148,0.8486682);(13.72051,66.27605,354.1466);(0.8269426,0.07217851,0.5471428,-0.1076601)
2022-05-23T10:57:12Z;(3.086436,2.365243,1.088575);(14.06328,65.02769,354.0541);(0.8323802,0.07542313,0.5380967,-0.1091178)
2022-05-23T10:57:12Z;(3.234807,2.371041,1.295389);(13.96147,64.6272,353.9731);(0.8342946,0.07467856,0.5352563,-0.1089772)
2022-05-23T10:57:12Z;(3.327199,2.371601,1.428274);(13.96419,65.07142,353.9572);(0.8321951,0.07420057,0.5384963,-0.1093941)
2022-05-23T10:57:12Z;(3.49988,2.377206,1.479144);(13.72984,65.48426,354.0101);(0.8305648,0.07234408,0.5415007,-0.1081912)
2022-05-23T10:57:12Z;(3.808419,2.388034,1.515612);(13.23399,65.22903,353.8696);(0.8321866,0.06829383,0.539818,-0.10676)
2022-05-23T10:57:12Z;(4.01352,2.394168,1.529002);(13.60837,65.41796,354.0468);(0.8310481,0.07169174,0.5410191,-0.1073211)
2022-05-23T10:57:12Z;(4.028024,2.394082,1.529852);(13.86211,65.40348,354.0617);(0.8308465,0.07363082,0.5408577,-0.1083781)
2022-05-23T10:57:12Z;(4.029549,2.394033,1.530256);(13.84114,65.30045,353.9332);(0.831234,0.0729688,0.5401965,-0.1091476)
2022-05-23T10:57:12Z;(4.030658,2.393344,1.530493);(14.18177,65.32453,353.9072);(0.8307062,0.07531423,0.5403243,-0.1109248)
2022-05-23T10:57:13Z;(4.033362,2.391694,1.528842);(14.6424,65.86725,353.8832);(0.8275762,0.07803077,0.544173,-0.1135966)
2022-05-23T10:57:13Z;(4.040162,2.383284,1.51313);(19.37823,78.75082,355.1885);(0.756826,0.1037345,0.6302592,-0.138661)
2022-05-23T10:57:13Z;(4.043932,2.380288,1.504268);(20.67219,84.8633,355.002);(0.7201365,0.1033614,0.6689039,-0.152602)
2022-05-23T10:57:13Z;(4.045793,2.380633,1.495063);(19.81898,89.31273,356.0448);(0.6961311,0.09844939,0.6961792,-0.1450648)
2022-05-23T10:57:13Z;(4.044816,2.378681,1.475181);(19.6204,100.1743,357.2534);(0.6289255,0.09117712,0.7582086,-0.1458039)
2022-05-23T10:57:13Z;(4.034015,2.369722,1.436357);(22.41478,124.3858,358.3416);(0.4550642,0.07810244,0.8688769,-0.1785211)
2022-05-23T10:57:13Z;(4.02669,2.363334,1.419268);(25.57604,134.7998,359.1039);(0.3731553,0.0780193,0.9009476,-0.2072717)
2022-05-23T10:57:13Z;(4.021179,2.364345,1.404772);(23.59846,136.8549,358.3783);(-0.357183,-0.06229468,-0.9112757,0.1952335)
2022-05-23T10:57:13Z;(4.018384,2.365019,1.397885);(23.66748,141.0997,358.7149);(-0.3237211,-0.0579328,-0.9235988,0.1970119)
2022-05-23T10:57:13Z;(4.018415,2.363949,1.395899);(23.96228,141.7369,358.2509);(-0.3175677,-0.05392116,-0.9251186,0.2009947)
2022-05-23T10:57:14Z;(4.017613,2.364862,1.393737);(23.34337,143.8322,358.3223);(-0.3011427,-0.04916101,-0.9317669,0.1967399)
2022-05-23T10:57:14Z;(4.020195,2.365706,1.3915);(22.48101,145.6715,358.4574);(-0.2869177,-0.04490518,-0.9378241,0.1901257)
2022-05-23T10:57:14Z;(4.022891,2.366573,1.390588);(22.21374,145.9472,358.6338);(-0.2851117,-0.04521699,-0.9388664,0.1876087)
2022-05-23T10:57:14Z;(4.030765,2.373475,1.392917);(19.17907,143.7117,358.0876);(-0.3043731,-0.03623341,-0.9377326,0.1634073)
2022-05-23T10:57:14Z;(4.046522,2.391938,1.411575);(10.27792,128.4852,355.0145);(-0.4288965,0.000126671,-0.897866,0.09942003)
2022-05-23T10:57:14Z;(4.046544,2.397632,1.421096);(7.483802,123.9407,354.6233);(0.4657086,-0.01067916,0.8812917,-0.07953817)
2022-05-23T10:57:14Z;(4.052307,2.404963,1.433724);(4.768993,118.6915,354.2537);(0.5069806,-0.02189727,0.8594974,-0.06128089)
2022-05-23T10:57:14Z;(4.053586,2.403482,1.440859);(5.197233,114.8739,354.3563);(0.5351406,-0.01707613,0.8421136,-0.06463543)
2022-05-23T10:57:14Z;(4.053998,2.401402,1.440853);(6.336398,115.5449,354.281);(0.5294728,-0.01270007,0.8450623,-0.07325754)
2022-05-23T10:57:14Z;(4.054783,2.400722,1.440943);(6.72702,115.5062,354.5718);(0.5297023,-0.008710068,0.8448352,-0.07478771)
2022-05-23T10:57:15Z;(4.055373,2.401386,1.440317);(6.676444,115.1831,354.7248);(0.5322124,-0.007609623,0.8433598,-0.07373025)
2022-05-23T10:57:15Z;(4.055637,2.400502,1.437939);(7.049739,115.6014,354.9439);(0.5290455,-0.004524142,0.8452219,-0.07543456)
2022-05-23T10:57:15Z;(4.056532,2.400234,1.436683);(7.060251,115.6906,355.0443);(0.5284466,-0.003793046,0.8456346,-0.07504532)
2022-05-23T10:57:15Z;(4.058609,2.400836,1.438519);(7.099724,114.4488,355.3946);(0.5377834,-0.0002259761,0.8398531,-0.07372702)
