time;position;rotationE;rotationQ
2022-05-22T16:13:25Z;(0.06991529,1.84529,-0.1055774);(0.008743082,2.902102,354.3077);(0.998446,-0.001181209,0.02529546,-0.04964019)
2022-05-22T16:13:25Z;(0.0701787,2.178225,-0.1059818);(359.7776,3.043311,354.301);(0.9984121,-0.003258224,0.02642542,-0.04964366)
2022-05-22T16:13:25Z;(0.07028645,2.178454,-0.1063928);(359.5614,3.094959,354.3484);(0.9984174,-0.005153082,0.02678365,-0.04917824)
2022-05-22T16:13:26Z;(0.07085884,2.179187,-0.1068427);(359.1877,3.227039,354.2841);(0.9983451,-0.008480517,0.0277685,-0.04963914)
2022-05-22T16:13:26Z;(0.07041469,2.179248,-0.1068622);(359.1283,3.036271,354.3654);(0.9984217,-0.008897435,0.0260868,-0.04893185)
2022-05-22T16:13:26Z;(0.06999373,2.182541,-0.1071939);(357.4482,3.116228,354.3888);(0.9982141,-0.02356207,0.02606207,-0.04831215)
2022-05-22T16:13:26Z;(0.0690218,2.182844,-0.1084577);(356.8336,2.93523,354.5198);(0.9981815,-0.02881153,0.02425251,-0.04706487)
2022-05-22T16:13:26Z;(0.06802676,2.183566,-0.1090708);(356.7157,2.861121,354.8485);(0.9983004,-0.02974053,0.02364248,-0.04419316)
2022-05-22T16:13:26Z;(0.06756824,2.183239,-0.1086754);(356.9153,2.822347,354.913);(0.9983793,-0.02797381,0.02339983,-0.04368646)
2022-05-22T16:13:26Z;(0.06671382,2.182557,-0.1084129);(357.2987,2.508098,354.9952);(0.9985522,-0.02449805,0.02082972,-0.04312285)
2022-05-22T16:13:26Z;(0.06639499,2.183877,-0.1094104);(356.6866,2.32097,355.1232);(0.9984969,-0.02973985,0.01899634,-0.0419337)
2022-05-22T16:13:26Z;(0.06624103,2.184531,-0.1108504);(356.0088,2.30271,355.1906);(0.9983413,-0.03562748,0.01860294,-0.04122442)
2022-05-22T16:13:26Z;(0.06465422,2.18545,-0.1123496);(355.4248,1.75117,355.3138);(0.9982759,-0.04050181,0.0136246,-0.04023679)
2022-05-22T16:13:27Z;(0.06403562,2.185682,-0.1125719);(355.2556,1.625788,355.4967);(0.9982942,-0.04191156,0.01253809,-0.0386639)
2022-05-22T16:13:27Z;(0.06380512,2.185786,-0.1122976);(355.0052,1.41796,355.4157);(0.9981959,-0.04403071,0.01060944,-0.03941539)
2022-05-22T16:13:27Z;(0.06380731,2.185745,-0.1121017);(354.9199,1.664392,355.3452);(0.998114,-0.04486584,0.01269827,-0.03992217)
2022-05-22T16:13:27Z;(0.06361027,2.185256,-0.1115603);(355.1404,1.483205,355.4113);(0.9982383,-0.04287584,0.01122393,-0.03944593)
2022-05-22T16:13:27Z;(0.06416101,2.185247,-0.1112445);(355.1886,1.621636,355.3341);(0.9982148,-0.0425114,0.0124183,-0.04007324)
2022-05-22T16:13:27Z;(0.06443439,2.184948,-0.1111981);(355.3134,1.612751,355.1982);(0.9982119,-0.04143616,0.01233666,-0.04127781)
2022-05-22T16:13:27Z;(0.06484868,2.184697,-0.1110866);(355.4606,1.638049,355.1753);(0.9982519,-0.04016528,0.01260355,-0.04148788)
2022-05-22T16:13:27Z;(0.06437814,2.184675,-0.1110167);(355.6044,1.509019,355.2104);(0.9983259,-0.03886237,0.01154483,-0.04124597)
2022-05-22T16:13:27Z;(0.06396374,2.184927,-0.1113084);(355.5027,1.249272,355.2615);(0.9983342,-0.03965082,0.009262105,-0.04087803)
2022-05-22T16:13:27Z;(0.06432297,2.185001,-0.1117877);(355.5124,1.395285,355.1285);(0.9982766,-0.03963024,0.01049177,-0.04198663)
2022-05-22T16:13:28Z;(0.0644055,2.185649,-0.1116977);(355.3525,1.403401,355.2778);(0.998275,-0.04101292,0.01055596,-0.04066381)
2022-05-22T16:13:28Z;(0.06459469,2.185324,-0.111947);(355.505,1.473327,355.2535);(0.9983117,-0.03971092,0.01121216,-0.04087045)
2022-05-22T16:13:28Z;(0.06527868,2.185486,-0.1117455);(355.2351,1.68791,355.0278);(0.9981136,-0.04216439,0.01289973,-0.04272273)
2022-05-22T16:13:28Z;(0.06541201,2.184882,-0.1115781);(355.6814,1.647715,354.9849);(0.9982536,-0.03826681,0.01270628,-0.04317397)
2022-05-22T16:13:28Z;(0.06555779,2.185245,-0.1111738);(355.49,1.716795,354.9711);(0.9981772,-0.03996177,0.01322925,-0.04324382)
2022-05-22T16:13:28Z;(0.06607648,2.185327,-0.1114379);(355.3184,1.967951,354.9168);(0.9980666,-0.04155777,0.01533067,-0.0436001)
2022-05-22T16:13:28Z;(0.06683132,2.186255,-0.1116929);(354.8817,2.293389,354.9287);(0.9978642,-0.04548234,0.01799773,-0.04329542)
2022-05-22T16:13:28Z;(0.06716086,2.187166,-0.1114376);(354.4112,2.391678,355.0265);(0.9976971,-0.04960014,0.01871056,-0.04231069)
2022-05-22T16:13:28Z;(0.06807053,2.190157,-0.1115485);(352.9956,2.677548,354.9301);(0.9969464,-0.06204175,0.02059635,-0.04270872)
2022-05-22T16:13:28Z;(0.06803021,2.196308,-0.1139411);(349.1177,3.261201,355.0934);(0.9942944,-0.09591038,0.02424403,-0.03989951)
2022-05-22T16:13:29Z;(0.06771922,2.198084,-0.1179644);(347.5989,2.873283,355.4299);(0.9931551,-0.1088824,0.02059998,-0.03691926)
2022-05-22T16:13:29Z;(0.06795697,2.198172,-0.1196721);(347.8171,3.157456,355.3123);(0.9932645,-0.1071066,0.02303398,-0.0377287)
2022-05-22T16:13:29Z;(0.06668857,2.197572,-0.1168868);(348.5032,3.18648,355.5677);(0.9939505,-0.1011161,0.02377153,-0.03567773)
2022-05-22T16:13:29Z;(0.06563039,2.195683,-0.1156956);(349.2157,2.419873,355.6259);(0.9947035,-0.09468439,0.01742167,-0.0360022)
2022-05-22T16:13:29Z;(0.0632282,2.195672,-0.1156851);(349.5859,1.907817,356.4375);(0.9953011,-0.09121419,0.01375073,-0.02944122)
2022-05-22T16:13:29Z;(0.0606623,2.198016,-0.1168677);(347.6823,1.08515,356.6105);(0.9937789,-0.1075123,0.006238053,-0.02838674)
2022-05-22T16:13:29Z;(0.0575636,2.198671,-0.1172649);(346.5668,0.562086,356.9991);(0.9927992,-0.1170447,0.001807322,-0.02543082)
2022-05-22T16:13:29Z;(0.05515728,2.20129,-0.1174281);(344.8517,0.5221701,357.2646);(0.990997,-0.1318776,0.001369732,-0.02305925)
2022-05-22T16:13:29Z;(0.05383247,2.203382,-0.1182845);(343.0877,359.6494,356.9899);(0.9887709,-0.1469215,-0.006887458,-0.02642889)
2022-05-22T16:13:29Z;(0.05138844,2.204957,-0.1185384);(342.0141,359.051,357.2672);(0.987362,-0.156068,-0.01190496,-0.02484601)
2022-05-22T16:13:30Z;(0.04713118,2.205874,-0.1181753);(341.3208,357.3404,357.8373);(0.9862311,-0.1617814,-0.02595775,-0.02238198)
2022-05-22T16:13:30Z;(0.04147772,2.209279,-0.1175226);(339.6645,354.4893,358.3138);(0.9829259,-0.1756117,-0.04990604,-0.02295218)
2022-05-22T16:13:30Z;(0.03445736,2.20974,-0.1167152);(338.5488,350.3094,359.0424);(0.9788529,-0.1847405,-0.08453713,-0.02390033)
2022-05-22T16:13:30Z;(0.02887094,2.214661,-0.1184896);(336.2766,347.7501,359.8306);(0.9730264,-0.2042226,-0.1047209,-0.02336987)
2022-05-22T16:13:30Z;(0.02200716,2.215358,-0.1212671);(334.6609,343.9051,1.02141);(0.9662787,-0.2183768,-0.1346431,-0.02209241)
2022-05-22T16:13:30Z;(0.01573687,2.217766,-0.1243082);(333.309,341.4467,2.091142);(0.9607896,-0.2306281,-0.152665,-0.01968002)
2022-05-22T16:13:30Z;(0.01273356,2.217968,-0.125309);(333.6696,339.4881,2.043758);(0.9587306,-0.2271761,-0.169342,-0.02345711)
2022-05-22T16:13:30Z;(0.01092785,2.21619,-0.1231969);(334.6509,339.3843,2.254539);(0.9604726,-0.2192641,-0.1702956,-0.02036921)
2022-05-22T16:13:30Z;(0.01015541,2.215936,-0.1219167);(334.8087,338.9882,2.519486);(0.9602149,-0.2182743,-0.173192,-0.01865648)
2022-05-22T16:13:30Z;(0.008503009,2.214531,-0.119809);(335.7569,337.1593,2.284755);(0.9589852,-0.2096474,-0.1894485,-0.02246361)
2022-05-22T16:13:31Z;(0.004222907,2.212479,-0.1174629);(337.9457,333.7968,2.416572);(0.9566886,-0.1909456,-0.2185151,-0.02318917)
2022-05-22T16:13:31Z;(-0.0040069,2.207304,-0.1118892);(341.1077,330.5661,2.383373);(0.9547385,-0.1639139,-0.2472438,-0.0218426)
2022-05-22T16:13:31Z;(-0.01063658,2.205228,-0.1068175);(342.4634,328.6851,2.059442);(0.9522246,-0.1515517,-0.2640507,-0.0240324)
2022-05-22T16:13:31Z;(-0.01761481,2.203552,-0.105361);(343.7678,327.7791,2.331441);(0.9517061,-0.1411958,-0.2718941,-0.01981819)
2022-05-22T16:13:31Z;(-0.02347168,2.201839,-0.105716);(344.9926,327.2959,2.665267);(0.9519306,-0.1317655,-0.2761375,-0.01463127)
2022-05-22T16:13:31Z;(-0.02610973,2.199609,-0.1047682);(345.8014,327.4816,3.285271);(0.9532455,-0.1265623,-0.2743211,-0.007280763)
2022-05-22T16:13:31Z;(-0.0108156,2.203691,-0.1023668);(344.5298,339.3493,3.30059);(0.9751446,-0.137474,-0.1737193,0.003960736)
2022-05-22T16:13:31Z;(0.004640423,2.206993,-0.1047085);(341.5029,352.7831,2.636606);(0.9850155,-0.1617857,-0.05841249,0.01255014)
2022-05-22T16:13:31Z;(0.01517346,2.207852,-0.1091335);(341.1082,359.0782,2.411926);(0.9862182,-0.1642418,-0.004478937,0.01944061)
2022-05-22T16:13:31Z;(0.02340232,2.207819,-0.1135363);(340.9698,2.019399,1.912709);(0.985903,-0.1649685,0.02013549,0.01937116)
