time;position;rotationE;rotationQ
2022-05-25T11:52:18Z;(-0.08010194,2.060524,-0.1722108);(24.3554,83.08437,359.3834);(0.7308623,0.1543948,0.6490888,-0.1438267)
2022-05-25T11:52:18Z;(-0.08110722,2.394711,-0.1695536);(24.11727,83.07464,359.845);(0.7318192,0.1554987,0.6486867,-0.1395217)
2022-05-25T11:52:18Z;(-0.08106713,2.396048,-0.1663907);(23.59065,82.70368,359.6968);(0.7344558,0.1517366,0.647134,-0.1369978)
2022-05-25T11:52:18Z;(-0.07962963,2.396811,-0.1637317);(23.07039,82.85307,359.808);(0.7344375,0.1488519,0.6485453,-0.1335426)
2022-05-25T11:52:18Z;(-0.0754301,2.399245,-0.161345);(22.01531,82.89227,0.03403827);(0.7358248,0.1433176,0.649695,-0.1261677)
2022-05-25T11:52:18Z;(-0.07038493,2.4023,-0.1592496);(20.56112,82.63435,359.9237);(0.7389297,0.133609,0.6497164,-0.1183217)
2022-05-25T11:52:18Z;(-0.06834509,2.403527,-0.1596418);(19.40679,82.68296,0.0212533);(0.7400656,0.1266641,0.6510718,-0.1111962)
2022-05-25T11:52:19Z;(-0.06973483,2.403791,-0.1615525);(19.48555,82.13307,0.1495392);(0.7432178,0.1284317,0.6472933,-0.1102002)
2022-05-25T11:52:19Z;(-0.06933209,2.402863,-0.1645616);(19.95691,81.21338,359.8072);(0.7475201,0.1304732,0.6412377,-0.1140378)
2022-05-25T11:52:19Z;(-0.06703325,2.391677,-0.1624399);(24.64273,78.51186,359.8572);(0.7563226,0.1644671,0.6184153,-0.1359754)
2022-05-25T11:52:19Z;(-0.06363421,2.381525,-0.1563691);(29.60511,72.7161,358.4536);(0.7764858,0.197999,0.5758789,-0.1619546)
2022-05-25T11:52:19Z;(-0.06300473,2.378757,-0.1523229);(30.67781,68.55374,357.6037);(0.793601,0.2071817,0.5475823,-0.1656104)
2022-05-25T11:52:19Z;(-0.06190421,2.377066,-0.1513048);(31.37551,65.96681,356.7872);(0.8031375,0.212033,0.5302694,-0.169783)
2022-05-25T11:52:19Z;(0.09240624,2.380592,-0.07815057);(32.00625,64.7621,356.3367);(0.8066439,0.2162484,0.5219718,-0.1735161)
2022-05-25T11:52:19Z;(0.4209847,2.400603,0.05990078);(28.55832,65.27628,356.6333);(0.8118176,0.1922559,0.5285448,-0.1569399)
2022-05-25T11:52:19Z;(0.7745268,2.418661,0.2090567);(25.21984,67.92226,357.2773);(0.8062844,0.168069,0.5493036,-0.1411512)
