time;position;rotationE;rotationQ
2022-05-21T20:30:15Z;(0.1214902,2.277126,0.2297922);(11.34597,193.6546,357.1121);(-0.1207303,-0.03664551,0.9874362,-0.09513748)
2022-05-21T20:30:16Z;(0.1234212,2.177264,0.2303966);(11.10685,193.2862,357.0307);(-0.1175933,-0.03680576,0.9880019,-0.09310859)
2022-05-21T20:30:16Z;(0.1248017,2.177354,0.230512);(11.14797,193.1551,357.0013);(-0.1164924,-0.03699316,0.9880907,-0.09347549)
2022-05-21T20:30:16Z;(0.1255847,2.177107,0.230144);(11.33389,192.8777,357.1369);(-0.1140116,-0.03577423,0.9882501,-0.09530415)
2022-05-21T20:30:16Z;(0.1263181,2.177232,0.2293487);(11.2854,192.5573,356.9309);(-0.1114121,-0.03723907,0.9885426,-0.09478522)
2022-05-21T20:30:16Z;(0.1274655,2.177034,0.2286238);(11.3835,192.4287,356.8456);(-0.1103879,-0.03795841,0.9885525,-0.09559162)
2022-05-21T20:30:16Z;(0.129407,2.177439,0.2273743);(11.37568,192.3157,357.1451);(-0.109161,-0.03527315,0.9887634,-0.09584712)
2022-05-21T20:30:16Z;(0.1300927,2.177798,0.226301);(11.10987,192.4932,357.155);(-0.1106526,-0.03509087,0.9888281,-0.09350724)
2022-05-21T20:30:16Z;(0.1303172,2.178257,0.2250038);(10.95143,192.9486,357.2671);(-0.1144718,-0.03434359,0.9885507,-0.09211163)
2022-05-21T20:30:16Z;(0.1307619,2.178457,0.2234561);(10.93521,193.0188,357.4005);(-0.1149685,-0.03323311,0.9885331,-0.0920845)
2022-05-21T20:30:16Z;(0.1315089,2.178663,0.221501);(10.95043,192.8048,357.5329);(-0.1130173,-0.03193371,0.988771,-0.09240845)
2022-05-21T20:30:17Z;(0.1308979,2.178758,0.2202965);(10.79255,192.893,357.5755);(-0.1137295,-0.03148585,0.9888282,-0.09106325)
2022-05-21T20:30:17Z;(0.1297661,2.179068,0.2192825);(10.63852,193.117,357.5458);(-0.1156721,-0.03176933,0.9887238,-0.08964204)
2022-05-21T20:30:17Z;(0.1274049,2.179997,0.2171873);(10.2103,193.3024,357.5846);(-0.1172026,-0.03115637,0.9888924,-0.08593375)
2022-05-21T20:30:17Z;(0.1265874,2.180652,0.2149);(9.902962,193.069,357.5204);(-0.1152054,-0.03123646,0.9893516,-0.08327816)
2022-05-21T20:30:17Z;(0.1269106,2.180564,0.2121085);(9.920489,191.9776,357.4118);(-0.1058592,-0.03139561,0.9903612,-0.0836232)
2022-05-21T20:30:17Z;(0.1266629,2.18017,0.2091196);(9.914185,191.0316,357.3452);(-0.09772747,-0.03127505,0.9911882,-0.0837682)
2022-05-21T20:30:17Z;(0.1314744,2.182126,0.2061639);(9.294534,188.0114,357.1993);(-0.07158071,-0.02995634,0.9938422,-0.0790976)
2022-05-21T20:30:17Z;(0.1402967,2.183562,0.2040011);(8.261173,181.6804,356.0402);(-0.01710524,-0.035511,0.9966633,-0.07147387)
2022-05-21T20:30:17Z;(0.1506703,2.184018,0.2021751);(8.109414,174.9416,355.5355);(0.04123353,-0.03569686,0.9958904,-0.07230095)
2022-05-21T20:30:17Z;(0.1547457,2.183675,0.2012713);(8.423964,173.0526,356.0198);(0.0578441,-0.0301216,0.995021,-0.07536599)
2022-05-21T20:30:18Z;(0.1606343,2.183644,0.2003444);(8.26249,170.3013,356.1887);(0.08188294,-0.02696198,0.9934842,-0.07454763)
2022-05-21T20:30:18Z;(0.1687435,2.18307,0.1993808);(8.370566,165.7431,356.2381);(0.1213195,-0.02343041,0.9893885,-0.07644113)
2022-05-21T20:30:18Z;(0.1768378,2.183499,0.2000145);(8.168822,161.119,356.2539);(0.1612228,-0.02048397,0.9838071,-0.07557135)
2022-05-21T20:30:18Z;(0.1845696,2.182897,0.2019796);(7.977468,156.7332,356.8264);(0.1991967,-0.01303552,0.9770991,-0.07367571)
2022-05-21T20:30:18Z;(0.191285,2.182126,0.2041523);(7.982923,152.6477,356.8569);(0.233917,-0.01013178,0.9693775,-0.07407739)
2022-05-21T20:30:18Z;(0.1967371,2.182078,0.2073966);(8.227977,148.8524,356.7981);(0.2657523,-0.007589979,0.9609662,-0.07656162)
2022-05-21T20:30:18Z;(0.2017765,2.181743,0.2105634);(8.435239,145.6144,357.206);(0.2929866,-0.001495013,0.9529753,-0.07742459)
2022-05-21T20:30:18Z;(0.2075966,2.180275,0.2149625);(9.142399,142.0049,356.8793);(0.3223201,0.0002692901,0.9428817,-0.0841649)
2022-05-21T20:30:18Z;(0.2112625,2.179106,0.218089);(9.837549,139.7964,356.8044);(0.3400449,0.003369668,0.9360831,-0.09003665)
2022-05-21T20:30:18Z;(0.2166567,2.179105,0.2225716);(10.01621,137.0499,356.8258);(0.3623089,0.006271327,0.927554,-0.09130605)
2022-05-21T20:30:19Z;(0.2214915,2.179482,0.2276894);(9.934911,134.3555,356.8244);(0.384057,0.008129429,0.9188286,-0.09048747)
2022-05-21T20:30:19Z;(0.2294134,2.180221,0.2367549);(9.5935,129.6458,356.4979);(0.4214174,0.008000545,0.9024932,-0.08859553)
2022-05-21T20:30:19Z;(0.2357078,2.180269,0.2456949);(9.525873,125.7148,356.504);(0.4521658,0.01081224,0.8875437,-0.0877225)
2022-05-21T20:30:19Z;(0.2401168,2.179119,0.252682);(10.0013,123.9688,357.0219);(0.465766,0.01807587,0.8802266,-0.08908631)
