time;position;rotationE;rotationQ
2022-05-21T20:53:27Z;(0.416498,2.196942,0.3085818);(1.969108,266.9205,0.4754151);(-0.6876919,-0.008808204,0.7257874,-0.01532542)
2022-05-21T20:53:27Z;(0.4165667,2.196896,0.3085968);(2.077197,266.934,0.4639388);(-0.6877649,-0.009531531,0.7256959,-0.01593992)
2022-05-21T20:53:27Z;(0.416727,2.196728,0.3084598);(2.237544,266.9783,0.5734684);(-0.6880063,-0.009807231,0.7254245,-0.01760879)
2022-05-21T20:53:27Z;(0.4162187,2.196349,0.308179);(2.582791,266.9492,0.3455609);(-0.6878056,-0.01331847,0.7255388,-0.018429)
2022-05-21T20:53:27Z;(0.4157881,2.195596,0.3081146);(3.241573,267.0434,0.5467132);(-0.6882479,-0.01601906,0.7249084,-0.0237932)
2022-05-21T20:53:28Z;(0.4150576,2.194515,0.308086);(3.970222,266.8228,0.6213748);(-0.686673,-0.01986848,0.7261204,-0.02888756)
2022-05-21T20:53:28Z;(0.4143053,2.193901,0.3085121);(4.583989,266.7508,0.585987);(-0.6860681,-0.02375127,0.7264193,-0.03257786)
2022-05-21T20:53:28Z;(0.4145344,2.194644,0.3100193);(4.126916,267.46,0.3779342);(-0.6907232,-0.02250798,0.7222148,-0.0282966)
2022-05-21T20:53:28Z;(0.4147169,2.19455,0.3105008);(4.224917,267.5271,0.2051852);(-0.6911649,-0.02420384,0.7217544,-0.02785867)
2022-05-21T20:53:28Z;(0.4135391,2.194644,0.3108941);(4.383505,267.6522,359.974);(-0.6919716,-0.02664645,0.720911,-0.02743391)
2022-05-21T20:53:28Z;(0.4121818,2.194263,0.3105128);(4.639792,267.5976,0.1757158);(-0.6915153,-0.02691059,0.7212251,-0.03027695)
2022-05-21T20:53:28Z;(0.3842053,2.193077,0.3084393);(4.961985,267.378,0.2773704);(-0.6900182,-0.02815216,0.7224925,-0.03297182)
2022-05-21T20:53:28Z;(0.08624646,2.191676,0.3005615);(5.33001,267.2751,0.3973706);(-0.6892267,-0.02957971,0.723044,-0.03604057)
2022-05-21T20:53:28Z;(-0.3617613,2.206521,0.292895);(5.524229,267.2289,0.4779968);(-0.6888493,-0.03022431,0.723289,-0.03776268)
2022-05-21T20:53:28Z;(-0.7302351,2.219155,0.2889509);(5.482635,267.149,0.526535);(-0.6883416,-0.02964141,0.7237938,-0.03781272)
2022-05-21T20:53:29Z;(-1.160982,2.233649,0.2963353);(5.524935,267.5503,0.302553);(-0.6909319,-0.03143875,0.7213066,-0.03662441)
2022-05-21T20:53:29Z;(-1.518396,2.24339,0.3177423);(5.578144,267.4643,0.2959892);(-0.6903759,-0.03177324,0.7218081,-0.03694355)
2022-05-21T20:53:29Z;(-1.931799,2.254276,0.3390676);(5.850116,267.252,0.4949543);(-0.6888832,-0.03208505,0.7230611,-0.03991416)
2022-05-21T20:53:29Z;(-2.343121,2.251155,0.3430602);(5.80688,267.0105,0.6005636);(-0.6873351,-0.03107365,0.724553,-0.04034192)
2022-05-21T20:53:29Z;(-2.723189,2.238126,0.3157215);(5.83582,267.0593,0.717611);(-0.6875924,-0.0305248,0.7242834,-0.04121384)
2022-05-21T20:53:29Z;(-3.100178,2.220064,0.2787116);(5.784527,266.9849,0.7410411);(-0.687131,-0.03004207,0.7247505,-0.04104995)
2022-05-21T20:53:29Z;(-3.54009,2.215712,0.2256166);(5.696381,267.1946,0.7575457);(-0.6884804,-0.02948297,0.7235206,-0.04053788)
2022-05-21T20:53:29Z;(-3.925292,2.212047,0.1819561);(5.662598,267.0816,0.714272);(-0.6877933,-0.02951356,0.7241973,-0.04009383)
2022-05-21T20:53:29Z;(-4.311259,2.208189,0.1438794);(5.646617,266.9625,0.7082599);(-0.6870477,-0.02941404,0.7249147,-0.0399874)
2022-05-21T20:53:29Z;(-4.697576,2.204468,0.1072505);(5.63157,266.8079,0.6092283);(-0.6861082,-0.02989719,0.7258196,-0.03933887)
2022-05-21T20:53:30Z;(-5.085099,2.198525,0.07614005);(5.432021,266.7914,0.5822691);(-0.6860777,-0.02886704,0.7259656,-0.03791819)
2022-05-21T20:53:30Z;(-5.473445,2.200173,0.04667872);(5.072005,266.795,0.432144);(-0.6862568,-0.02766258,0.7260026,-0.03473841)
