time;position;rotationE;rotationQ
2022-05-23T19:15:59Z;(-0.08529502,1.897503,0.993871);(9.632968,299.9481,359.3449);(0.8629676,0.07554552,-0.4982015,0.03708278)
2022-05-23T19:15:59Z;(-0.08426562,2.230098,0.9880079);(9.474188,300.1989,359.8786);(0.863974,0.07211758,-0.496717,0.04025213)
2022-05-23T19:15:59Z;(-0.08360687,2.230122,0.9842754);(9.383862,300.5894,0.01155983);(0.8656707,0.07099887,-0.4938859,0.04062153)
2022-05-23T19:15:59Z;(-0.0824759,2.230027,0.9815485);(9.75458,300.9691,0.4255525);(0.8669101,0.07216463,-0.4911456,0.04510649)
2022-05-23T19:15:59Z;(-0.08195958,2.229803,0.9810915);(9.941018,301.7515,0.5686241);(0.8700612,0.07328141,-0.4852447,0.04648755)
2022-05-23T19:15:59Z;(-0.1128402,2.228136,1.001345);(10.07951,301.9733,0.5253014);(0.8709213,0.07460713,-0.4834857,0.04659983)
2022-05-23T19:15:59Z;(-0.3683356,2.229915,1.185014);(10.25749,302.1913,0.62138);(0.8716759,0.07564639,-0.4818307,0.04793587)
2022-05-23T19:15:59Z;(-0.7138674,2.24701,1.437755);(10.29262,302.5021,0.7883845);(0.8728838,0.07534504,-0.4795637,0.04914946)
2022-05-23T19:15:59Z;(-1.007009,2.258789,1.645695);(10.42587,302.5398,0.9135404);(0.8728909,0.07585356,-0.4793162,0.05063408)
2022-05-23T19:15:59Z;(-1.360795,2.270522,1.893248);(10.57853,302.3921,1.021792);(0.8721118,0.07649735,-0.4804636,0.052194)
2022-05-23T19:16:00Z;(-1.718354,2.28207,2.132447);(10.61293,302.3673,1.199437);(0.8718999,0.07600285,-0.4807596,0.05370612)
2022-05-23T19:16:00Z;(-2.016447,2.269167,2.330703);(10.82261,302.4475,1.277216);(0.8720397,0.07731211,-0.4801366,0.05512022)
2022-05-23T19:16:00Z;(-2.369277,2.248546,2.566026);(10.93826,302.4357,1.397381);(0.8718423,0.0776839,-0.4802715,0.05652521)
2022-05-23T19:16:00Z;(-2.712381,2.265052,2.795033);(10.88242,302.4188,1.388351);(0.8718196,0.077288,-0.4804112,0.05623483)
2022-05-23T19:16:00Z;(-3.050333,2.283433,3.020841);(10.93337,302.3241,1.395538);(0.871379,0.0775993,-0.4811207,0.05656638)
2022-05-23T19:16:00Z;(-3.337907,2.289603,3.213109);(11.1174,302.2553,1.366222);(0.8709601,0.07908914,-0.481566,0.05716029)
2022-05-23T19:16:00Z;(-3.672321,2.29236,3.435881);(11.09295,302.1739,1.232478);(0.8707033,0.0794253,-0.4821001,0.05609786)
2022-05-23T19:16:00Z;(-4.003459,2.297897,3.655403);(11.2832,302.036,1.281855);(0.8699475,0.0805957,-0.4831196,0.0573673)
2022-05-23T19:16:00Z;(-4.334112,2.305842,3.872063);(11.2949,301.7365,1.190866);(0.8687179,0.08091967,-0.485324,0.05693736)
2022-05-23T19:16:00Z;(-4.714681,2.314717,4.11995);(11.35484,301.5972,1.298959);(0.8680254,0.08084617,-0.4864352,0.05810793)
2022-05-23T19:16:01Z;(-5.038888,2.321794,4.329753);(11.32178,301.4122,1.314884);(0.8672572,0.08043397,-0.4878585,0.05821877)
2022-05-23T19:16:01Z;(-5.342208,2.328233,4.524828);(11.36908,301.2372,1.32913);(0.8664662,0.08064231,-0.4891762,0.05865033)
