time;position;rotationE;rotationQ
2022-05-22T10:40:23Z;(-0.4752489,2.215845,0.2627212);(8.231759,80.10146,0.686303);(-0.7637636,-0.05878396,-0.6414655,0.04161052)
2022-05-22T10:40:23Z;(-0.4747242,2.167154,0.2633595);(8.210356,80.06889,0.6716592);(-0.7639503,-0.05857126,-0.6412654,0.04157155)
2022-05-22T10:40:23Z;(-0.4742526,2.167233,0.2637304);(8.235559,80.16746,0.6955779);(-0.7633957,-0.05883723,-0.6418988,0.04160389)
2022-05-22T10:40:23Z;(-0.4734836,2.167024,0.2643539);(8.353422,80.10378,0.8020839);(-0.7637383,-0.06024143,-0.641366,0.0415218)
2022-05-22T10:40:23Z;(-0.4730273,2.1668,0.2644361);(8.423457,80.04427,0.7642756);(-0.764026,-0.06051809,-0.6409574,0.04213481)
2022-05-22T10:40:23Z;(-0.4728014,2.166462,0.264334);(8.551218,80.1411,0.8246151);(-0.7634483,-0.06167074,-0.6415117,0.04250009)
2022-05-22T10:40:24Z;(-0.472989,2.166787,0.26415);(8.384537,80.00821,0.7442497);(-0.7642379,-0.06016,-0.6407452,0.04203146)
2022-05-22T10:40:24Z;(-0.472998,2.166698,0.2643533);(8.477714,79.89935,0.8194185);(-0.7648314,-0.06124108,-0.6399364,0.04199357)
2022-05-22T10:40:24Z;(-0.4724787,2.165829,0.2660387);(8.933195,79.24478,0.887471);(-0.7682863,-0.06490865,-0.6353046,0.04371595)
2022-05-22T10:40:24Z;(-0.4721653,2.165862,0.2672954);(9.084732,78.39526,0.9569327);(-0.7729275,-0.06663366,-0.6294777,0.04359882)
2022-05-22T10:40:24Z;(-0.4712575,2.16632,0.268524);(8.76382,78.00256,1.001631);(-0.775251,-0.0648587,-0.6269552,0.04130935)
2022-05-22T10:40:24Z;(-0.4701243,2.166795,0.2684956);(8.422755,78.34779,1.072511);(-0.7735394,-0.06282373,-0.6294101,0.03914985)
2022-05-22T10:40:24Z;(-0.4693888,2.167336,0.2684512);(8.114112,78.46775,1.048752);(-0.7730069,-0.06057244,-0.6303744,0.03767541)
2022-05-22T10:40:24Z;(-0.4686934,2.168252,0.2688847);(7.685239,78.4262,1.099046);(-0.7734289,-0.05797143,-0.6302581,0.03495178)
2022-05-22T10:40:24Z;(-0.4685899,2.168846,0.2692517);(7.365253,78.30887,1.250209);(-0.774242,-0.05667821,-0.6295281,0.03211046)
2022-05-22T10:40:24Z;(-0.4686044,2.169027,0.2697093);(7.153278,78.09802,1.297941);(-0.7754901,-0.05556603,-0.6281688,0.03051914)
2022-05-22T10:40:25Z;(-0.462932,2.169782,0.2706656);(6.86911,78.19933,1.295836);(-0.775034,-0.05360782,-0.6289726,0.02902024)
2022-05-22T10:40:25Z;(-0.4551581,2.170423,0.272091);(6.691659,78.27219,1.231072);(-0.7746779,-0.05203525,-0.6295661,0.02851573)
