time;position;rotationE;rotationQ
2022-05-27T13:07:27Z;(0.1519874,1.832494,-0.01818389);(31.19735,286.8914,357.3604);(0.7771903,0.2291592,-0.5685204,0.1422875)
2022-05-27T13:07:27Z;(0.1592326,2.186994,-0.02294318);(21.05182,285.3624,357.3573);(0.784238,0.158987,-0.592539,0.09269001)
2022-05-27T13:07:27Z;(0.1707774,2.203655,-0.02921991);(13.18401,284.6322,357.9161);(0.7873097,0.1018787,-0.6055105,0.05586934)
2022-05-27T13:07:27Z;(0.1776107,2.214224,-0.03494254);(7.060863,283.5602,358.3416);(0.7846205,0.0573104,-0.6167421,0.02674519)
2022-05-27T13:07:27Z;(0.1820378,2.214987,-0.03936535);(6.661289,282.7307,358.7318);(0.7801773,0.05227827,-0.6227572,0.02764086)
2022-05-27T13:07:27Z;(0.1812044,2.21163,-0.04463629);(8.028503,280.9054,358.9958);(0.7695686,0.05954423,-0.6346555,0.03783075)
2022-05-27T13:07:27Z;(0.1769619,2.201704,-0.05850828);(13.37324,273.8468,358.3229);(0.7265587,0.09496976,-0.6770126,0.06889923)
2022-05-27T13:07:27Z;(0.1746423,2.198824,-0.07099515);(15.23455,267.3715,358.5077);(0.6857979,0.1008827,-0.7155045,0.08693226)
2022-05-27T13:07:27Z;(0.1731086,2.19736,-0.07881826);(16.22382,264.126,358.8819);(0.6642349,0.1017011,-0.7340227,0.09828265)
2022-05-27T13:07:28Z;(0.1713203,2.195182,-0.08420058);(17.44329,262.3908,358.8297);(0.6521444,0.1074611,-0.742708,0.1074455)
2022-05-27T13:07:28Z;(0.1697719,2.192191,-0.08902989);(19.17675,260.9083,358.3321);(0.6415517,0.1189851,-0.748643,0.1174213)
2022-05-27T13:07:28Z;(0.1663259,2.185426,-0.08948377);(21.75314,261.6412,358.0606);(0.6442742,0.1359069,-0.7409719,0.1319117)
2022-05-27T13:07:28Z;(0.1628241,2.171759,-0.0858749);(28.261,264.8782,358.2523);(0.6570594,0.1756363,-0.7130694,0.1701669)
2022-05-27T13:07:28Z;(0.1618028,2.169554,-0.08383104);(30.187,266.5151,358.1899);(0.6645512,0.1895273,-0.7002503,0.1791663)
2022-05-27T13:07:28Z;(0.1608292,2.169515,-0.08222184);(29.92744,267.8163,358.4899);(0.6723808,0.1882247,-0.693601,0.1771807)
2022-05-27T13:07:28Z;(0.1599547,2.168609,-0.08106902);(30.23056,268.2182,358.213);(0.6747844,0.1922848,-0.6902602,0.1767299)
2022-05-27T13:07:28Z;(0.158897,2.167264,-0.08046259);(30.84971,268.4178,357.93);(0.6754948,0.197909,-0.6875205,0.1784783)
2022-05-27T13:07:28Z;(0.1569207,2.170389,-0.0809322);(29.20644,268.2629,357.8094);(0.6771487,0.1888001,-0.6910748,0.1680471)
2022-05-27T13:07:28Z;(0.1587172,2.207756,-0.07463439);(11.10603,271.6681,358.1318);(0.7149624,0.08070888,-0.6922458,0.05577325)
2022-05-27T13:07:29Z;(0.1662062,2.22342,-0.06923451);(2.233596,275.8266,359.3878);(0.7420495,0.01804466,-0.6700403,0.009099203)
2022-05-27T13:07:29Z;(0.1742099,2.229128,-0.06559122);(358.5096,279.306,0.4608197);(0.7621007,-0.01251534,-0.6473153,-0.005355419)
2022-05-27T13:07:29Z;(0.1761875,2.229177,-0.06442392);(358.4264,279.7675,0.2208342);(0.7646825,-0.01174276,-0.644258,-0.007374249)
2022-05-27T13:07:29Z;(0.1778535,2.228518,-0.06382987);(358.8124,279.9413,0.3294289);(0.7656899,-0.00978411,-0.64312,-0.004464184)
2022-05-27T13:07:29Z;(0.1803257,2.228892,-0.06033544);(358.3524,282.2417,0.7270565);(0.7784329,-0.01517452,-0.6275313,-0.004085793)
2022-05-27T13:07:29Z;(0.1831218,2.226416,-0.05659112);(359.739,285.3341,1.109402);(0.7950991,-0.007682214,-0.606398,0.006316407)
2022-05-27T13:07:29Z;(0.1830758,2.224655,-0.05783311);(0.974003,283.9915,0.5807558);(0.7879002,0.003576993,-0.6157233,0.009226637)
2022-05-27T13:07:29Z;(0.183919,2.224705,-0.06058212);(0.8671132,281.9456,0.4802595);(0.776798,0.003239306,-0.6296905,0.008020472)
2022-05-27T13:07:29Z;(0.1844698,2.224373,-0.06350765);(0.985612,280.1895,0.3126749);(0.7670604,0.004847459,-0.6415116,0.007610729)
2022-05-27T13:07:29Z;(0.1846725,2.224237,-0.06493491);(1.242377,279.6717,0.5950162);(0.764108,0.00493617,-0.6449763,0.01096035)
2022-05-27T13:07:30Z;(0.185191,2.223984,-0.06611075);(1.50353,279.1716,0.4832043);(0.7612694,0.007255973,-0.6482892,0.01171625)
2022-05-27T13:07:30Z;(0.186061,2.223786,-0.06736311);(1.556685,278.7644,0.4978232);(0.7589535,0.007483334,-0.6509886,0.01214071)
2022-05-27T13:07:30Z;(0.1859131,2.223748,-0.07028697);(1.529815,278.9757,0.5570603);(0.7601495,0.006991648,-0.6495928,0.01236754)
2022-05-27T13:07:30Z;(0.1631371,2.223283,-0.1256387);(1.496555,284.1783,0.6363278);(0.7888436,0.006891738,-0.6144302,0.01240486)
2022-05-27T13:07:30Z;(0.1241981,2.222538,-0.1986013);(1.4878,290.0808,0.6770335);(0.8194291,0.007255123,-0.5730029,0.01228088)
2022-05-27T13:07:30Z;(0.06255182,2.220418,-0.2853548);(1.589733,297.6287,0.5733913);(0.8553651,0.009277009,-0.5178159,0.01146359)
2022-05-27T13:07:30Z;(-0.01628099,2.219267,-0.3698568);(1.707615,307.7762,0.6828884);(0.8977816,0.01075755,-0.4401483,0.01190875)
2022-05-27T13:07:30Z;(-0.1160213,2.219863,-0.4490868);(1.739748,318.6049,0.2888512);(0.9353348,0.0133109,-0.3534289,0.007723423)
2022-05-27T13:07:30Z;(-0.2965205,2.224744,-0.5401013);(1.912211,336.0237,0.2795638);(0.9780431,0.01581578,-0.2077193,0.005852021)
2022-05-27T13:07:30Z;(-0.3557759,2.226425,-0.5594054);(1.993858,337.6639,0.3887503);(0.9808978,0.01641226,-0.1937143,0.006697636)
2022-05-27T13:07:31Z;(-0.3585926,2.22641,-0.5592607);(2.03586,337.7083,0.2539403);(0.9809734,0.01700186,-0.1933148,0.005608055)
2022-05-27T13:07:31Z;(-0.3585064,2.22635,-0.5583611);(2.057191,337.9727,0.3403526);(0.9814089,0.01705337,-0.191064,0.00634444)
2022-05-27T13:07:31Z;(-0.3586418,2.226433,-0.5573678);(1.994085,337.9988,0.1942005);(0.9814695,0.0167577,-0.1908186,0.004983721)
2022-05-27T13:07:31Z;(-0.4936252,2.22439,-0.4024458);(2.343287,338.1165,0.2768846);(0.9816032,0.01961729,-0.189819,0.006253015)
2022-05-27T13:07:31Z;(-0.6875114,2.235747,-0.1265388);(2.426165,338.1033,0.2572187);(0.9815672,0.0203591,-0.1899276,0.006224119)
2022-05-27T13:07:31Z;(-0.9238206,2.250621,0.2267091);(2.585758,337.8688,0.2036637);(0.9811491,0.02180253,-0.1919226,0.006074392)
2022-05-27T13:07:31Z;(-1.126808,2.259142,0.5107152);(2.729812,336.8824,0.1150053);(0.9794365,0.02313572,-0.2003397,0.005755835)
2022-05-27T13:07:31Z;(-1.346559,2.265519,0.6516213);(3.134664,334.2665,359.8953);(0.974531,0.0268682,-0.2225763,0.005200718)
2022-05-27T13:07:31Z;(-1.533297,2.269106,0.6162152);(3.671512,331.4242,0.3263846);(0.9685442,0.03034092,-0.2467549,0.01066461)
2022-05-27T13:07:31Z;(-1.744909,2.274157,0.5167589);(3.706267,324.1324,0.8867984);(0.95081,0.0283839,-0.3079855,0.01731588)
2022-05-27T13:07:32Z;(-1.904385,2.277305,0.4070292);(3.402972,315.2514,0.7227889);(0.9242197,0.02505639,-0.3806532,0.01713232)
2022-05-27T13:07:32Z;(-2.071293,2.279763,0.2701771);(3.962317,307.8971,0.4500057);(0.8977963,0.02933457,-0.4390344,0.01870858)
2022-05-27T13:07:32Z;(-2.225204,2.282381,0.133628);(3.926607,305.0686,0.5081034);(0.8866878,0.0283538,-0.4610768,0.01973282)
2022-05-27T13:07:32Z;(-2.373032,2.285553,0.020652);(3.592787,304.82,359.9096);(0.8858599,0.02814834,-0.4628917,0.01381953)
2022-05-27T13:07:32Z;(-2.62992,2.286748,-0.008219242);(3.503982,304.4102,359.5126);(0.8842618,0.02902811,-0.4659702,0.0104953)
2022-05-27T13:07:32Z;(-2.972253,2.277442,0.06244807);(3.791412,304.3801,359.4511);(0.8840796,0.03149273,-0.4661395,0.01119856)
2022-05-27T13:07:32Z;(-3.290025,2.263124,0.104801);(4.109896,304.4305,359.2564);(0.884226,0.03474588,-0.4656357,0.01097779)
2022-05-27T13:07:32Z;(-3.602642,2.252306,0.1079334);(4.152727,302.4386,0.1912473);(0.8758629,0.03095268,-0.4811949,0.01890574)
2022-05-27T13:07:32Z;(-3.858703,2.248919,0.06754035);(4.446736,289.2704,0.9374481);(0.8146588,0.02690466,-0.578584,0.02911942)
2022-05-27T13:07:32Z;(-4.120183,2.243716,-0.02704734);(5.002043,278.9251,1.08402);(0.7589549,0.02701952,-0.6496106,0.03554287)
2022-05-27T13:07:33Z;(-4.138466,2.23989,-0.1431828);(5.132848,258.0553,0.4109293);(0.6289353,0.02541308,-0.7761591,0.03704072)
2022-05-27T13:07:33Z;(-4.048983,2.236718,-0.2262343);(5.440199,242.0199,0.3840156);(0.5144671,0.02158003,-0.8561894,0.04239853)
2022-05-27T13:07:33Z;(-3.998992,2.234043,-0.3338402);(5.604195,237.0269,0.3003975);(0.4766801,0.02103581,-0.8777125,0.04420641)
2022-05-27T13:07:33Z;(-4.085975,2.227508,-0.5605404);(5.826005,238.3895,0.09835866);(0.4871109,0.0240404,-0.8718598,0.04478193)
2022-05-27T13:07:33Z;(-4.201628,2.207598,-0.8208511);(5.728155,240.2603,358.6316);(0.5018193,0.03539458,-0.8634458,0.03722603)
2022-05-27T13:07:33Z;(-4.388429,2.201623,-1.059449);(5.942417,259.3733,359.2395);(0.6379808,0.03820032,-0.7682772,0.0356556)
2022-05-27T13:07:33Z;(-4.698246,2.208552,-1.175863);(5.061649,272.5652,357.8439);(0.7224991,0.04489921,-0.6897048,0.0169263)
2022-05-27T13:07:33Z;(-5.060698,2.21254,-1.218643);(4.644445,275.9971,357.1996);(0.7429584,0.04643999,-0.6676644,0.008961206)
2022-05-27T13:07:33Z;(-5.412327,2.21465,-1.23656);(2.13504,287.0806,357.2561);(0.80417,0.02920579,-0.5936252,-0.008185273)
2022-05-27T13:07:33Z;(-5.728091,2.218162,-1.156605);(1.77468,316.073,356.0812);(0.926967,0.02714043,-0.3732615,-0.02591683)
2022-05-27T13:07:34Z;(-5.983959,2.219898,-0.9490888);(1.926496,338.0472,355.893);(0.9810511,0.02331456,-0.1896638,-0.03197291)
2022-05-27T13:07:34Z;(-6.179462,2.217979,-0.6404459);(3.014548,350.7966,355.1534);(0.9956297,0.02958668,-0.07902042,-0.04002298)
2022-05-27T13:07:34Z;(-6.340646,2.226801,-0.3315524);(3.342106,349.3091,355.2674);(0.9944912,0.03285448,-0.09184274,-0.03837699)
