time;position;rotationE;rotationQ
2022-05-21T12:48:02Z;(0.08786237,2.59445,0.2430728);(357.5483,71.91717,0.4240769);(-0.8092043,0.01514412,-0.5871258,-0.01555708)
2022-05-21T12:48:02Z;(0.08752799,2.446873,0.2417569);(357.4949,71.62117,0.4413009);(-0.8107066,0.0154739,-0.5850316,-0.01591214)
2022-05-21T12:48:02Z;(0.08737814,2.447001,0.2401063);(357.3442,71.24643,0.3109966);(-0.8126068,0.01725723,-0.5823448,-0.0157034)
2022-05-21T12:48:02Z;(0.08757313,2.446616,0.2394509);(357.508,70.8078,0.2904812);(-0.8148611,0.01625618,-0.5792428,-0.01466359)
2022-05-21T12:48:03Z;(0.08854526,2.445901,0.2386031);(357.7156,70.24969,0.2752399);(-0.817708,0.01492192,-0.5752832,-0.01343307)
2022-05-21T12:48:03Z;(0.08991695,2.444182,0.2391787);(358.0903,69.40939,0.3931441);(-0.8219458,0.01174683,-0.5693114,-0.01230799)
2022-05-21T12:48:03Z;(0.09140606,2.442605,0.2403579);(358.425,67.93286,0.4554202);(-0.8292497,0.00917845,-0.5586953,-0.01097463)
2022-05-21T12:48:03Z;(0.1615905,2.442938,0.2105334);(358.4913,73.57578,0.4901764);(-0.8007476,0.007982272,-0.5988421,-0.01130966)
2022-05-21T12:48:03Z;(0.3116186,2.444984,0.1183424);(358.8214,84.19274,0.1673187);(-0.741968,0.006653077,-0.6703544,-0.00797843)
2022-05-21T12:48:03Z;(0.4495113,2.443268,-0.005100653);(359.2927,94.21496,0.1549369);(-0.6806055,0.003210462,-0.7326228,-0.005442261)
2022-05-21T12:48:03Z;(0.5372458,2.441533,-0.1103884);(359.4664,100.5386,0.0304585);(-0.639172,0.00277216,-0.7690495,-0.003751287)
2022-05-21T12:48:03Z;(0.575127,2.440992,-0.1476142);(359.5007,100.132,359.8909);(-0.6419018,0.003527007,-0.7667739,-0.002729867)
2022-05-21T12:48:03Z;(0.5884397,2.442187,-0.1440769);(359.3076,99.61501,0.005575174);(-0.6453457,0.003862598,-0.7638668,-0.004647369)
2022-05-21T12:48:03Z;(0.6031845,2.443802,-0.1352607);(358.8336,98.72777,0.04673597);(-0.6512157,0.006319648,-0.7588243,-0.007990081)
2022-05-21T12:48:04Z;(0.6241036,2.44328,-0.1213837);(359.3065,95.76337,0.08015946);(-0.6706482,0.003539767,-0.7417507,-0.004958033)
2022-05-21T12:48:04Z;(0.6438813,2.443277,-0.1082958);(359.1753,92.43192,359.8437);(-0.6919305,0.005964721,-0.7219268,-0.004251777)
2022-05-21T12:48:04Z;(0.6610106,2.442361,-0.09820914);(359.6163,90.58082,359.7693);(-0.7035131,0.003786481,-0.7106715,-0.0009636366)
2022-05-21T12:48:04Z;(0.6820589,2.441804,-0.08368888);(359.7672,88.03459,359.5916);(-0.719129,0.003937781,-0.6948643,0.001151384)
2022-05-21T12:48:04Z;(0.6572182,2.441473,-0.002495587);(359.9106,79.23906,359.4482);(-0.7702892,0.003671576,-0.6376761,0.003211993)
2022-05-21T12:48:04Z;(0.4304323,2.443059,0.2796758);(359.9009,62.6706,359.4906);(-0.8541319,0.003050513,-0.5200369,0.003346746)
2022-05-21T12:48:04Z;(0.06617105,2.431669,0.5536849);(0.07222489,47.39159,359.2667);(-0.9156715,0.001994679,-0.4018759,0.006113208)
2022-05-21T12:48:04Z;(0.01264942,2.432043,0.5989736);(0.04335687,46.52029,359.3699);(-0.9187065,0.001823693,-0.3949025,0.005200776)
