time;position;rotationE;rotationQ
2022-05-21T21:14:24Z;(0.02991641,1.982817,-0.00194177);(5.67126,58.59937,358.7104);(0.8706765,0.03763869,0.489233,-0.03401073)
2022-05-21T21:14:24Z;(0.02951193,2.312954,0.0009481311);(6.768839,60.22911,358.84);(0.8631713,0.0459941,0.5013468,-0.03835902)
2022-05-21T21:14:24Z;(0.02769938,2.310682,0.005961001);(7.932292,59.08266,359.6538);(0.8678097,0.05868919,0.49205,-0.0367246)
2022-05-21T21:14:25Z;(0.02439986,2.309867,0.01105619);(8.486237,55.39149,359.6324);(0.8828864,0.06402431,0.4637102,-0.03722091)
2022-05-21T21:14:25Z;(0.02538924,2.308607,0.01057297);(8.92433,57.7958,359.0534);(0.8724882,0.06413114,0.4823318,-0.04480582)
2022-05-21T21:14:25Z;(0.02767855,2.306244,0.009007513);(10.25821,61.98285,358.5386);(0.8531552,0.07009125,0.5137836,-0.05691797)
2022-05-21T21:14:25Z;(0.02892707,2.304326,0.009614885);(11.33306,65.19676,358.7431);(0.8377171,0.07729851,0.5369945,-0.06238741)
2022-05-21T21:14:25Z;(0.02759905,2.304562,0.01698852);(11.38697,65.53968,358.6165);(0.8359941,0.07690947,0.5395632,-0.06379469)
2022-05-21T21:14:25Z;(0.02698522,2.304525,0.02343282);(10.57433,66.99379,358.5766);(0.8296718,0.07001118,0.5504557,-0.06116586)
2022-05-21T21:14:25Z;(0.02859919,2.303118,0.02963367);(10.6589,67.9478,359.5925);(0.8255174,0.07504737,0.55667,-0.05484035)
2022-05-21T21:14:25Z;(0.02754746,2.301662,0.03104487);(11.19973,66.5568,0.3546101);(0.832186,0.0832682,0.5458339,-0.05096817)
2022-05-21T21:14:25Z;(0.0270353,2.3004,0.03076237);(12.46523,66.00581,359.9491);(0.8336596,0.09080705,0.5415025,-0.05950367)
2022-05-21T21:14:25Z;(0.02684282,2.301551,0.02953929);(11.77968,65.3035,0.5338688);(0.8377694,0.08889861,0.536275,-0.05146213)
2022-05-21T21:14:26Z;(0.02490915,2.300652,0.02560055);(12.52026,65.21587,0.04604619);(0.8373781,0.09207034,0.5356371,-0.05842524)
2022-05-21T21:14:26Z;(0.02183948,2.277528,0.02175286);(24.58794,65.21986,0.02447177);(0.8230666,0.1794739,0.5265201,-0.1145745)
2022-05-21T21:14:26Z;(0.01798061,2.287629,0.01913577);(19.60779,64.65461,359.671);(0.8324019,0.1423714,0.5273566,-0.09344648)
2022-05-21T21:14:26Z;(0.00783944,2.286063,0.01289657);(20.97632,63.4748,359.0684);(0.8354528,0.1506026,0.5184799,-0.1025492)
2022-05-21T21:14:26Z;(-0.001450896,2.278274,0.01209098);(25.17129,60.48506,359.423);(0.8425795,0.1857656,0.4925006,-0.1139908)
2022-05-21T21:14:26Z;(-0.008405463,2.284729,0.01134542);(22.39147,55.95398,358.8521);(0.8653738,0.1668525,0.461884,-0.09975798)
2022-05-21T21:14:26Z;(-0.009346648,2.298914,0.00811097);(14.95492,57.02966,0.3339891);(0.8713986,0.1157288,0.4729913,-0.05958566)
2022-05-21T21:14:26Z;(-0.01067095,2.306816,0.0007497072);(8.611585,59.55732,0.5057403);(0.8656569,0.06735041,0.4949565,-0.03346813)
2022-05-21T21:14:26Z;(-0.008300647,2.308027,-0.005774558);(8.459079,61.85313,359.8649);(0.8554452,0.06266245,0.5126136,-0.03891276)
2022-05-21T21:14:26Z;(-0.00599423,2.307091,-0.008658706);(9.377791,62.32534,0.06742936);(0.8528625,0.07025308,0.5156965,-0.04179889)
2022-05-21T21:14:27Z;(0.04524601,2.307869,0.008899275);(9.964154,62.21384,359.8216);(0.8528991,0.07355487,0.5148,-0.04619492)
2022-05-21T21:14:27Z;(0.3522348,2.318437,0.1214421);(9.963794,62.53457,359.518);(0.8513291,0.07205238,0.5173779,-0.04865421)
2022-05-21T21:14:27Z;(0.7443242,2.331513,0.2762077);(9.839458,62.95663,359.2625);(0.8493901,0.06978975,0.5207119,-0.05024914)
2022-05-21T21:14:27Z;(1.091612,2.342812,0.4255095);(9.979874,63.19587,359.1458);(0.8481543,0.07019239,0.5225071,-0.05189809)
2022-05-21T21:14:27Z;(1.474709,2.351871,0.5582225);(10.40476,63.31252,358.8954);(0.8472074,0.07214103,0.5233797,-0.05575684)
2022-05-21T21:14:27Z;(1.790742,2.354843,0.6235927);(10.72836,63.94205,358.614);(0.8439404,0.07292349,0.5280921,-0.05971201)
2022-05-21T21:14:27Z;(2.159999,2.355711,0.6599309);(10.62978,63.99906,358.4761);(0.843679,0.07153095,0.528632,-0.06031021)
2022-05-21T21:14:27Z;(2.509259,2.356217,0.7087507);(10.81797,63.13477,358.6835);(0.8476083,0.07432292,0.5220582,-0.05908912)
2022-05-21T21:14:27Z;(2.621498,2.353251,0.747963);(10.77115,62.2115,358.6613);(0.8518109,0.07434854,0.5152423,-0.05844323)
2022-05-21T21:14:27Z;(2.628731,2.353586,0.7523439);(10.38051,61.08635,358.7794);(0.8571768,0.07251605,0.5069049,-0.05510534)
2022-05-21T21:14:28Z;(2.628041,2.353743,0.7530957);(10.08668,61.3263,358.8794);(0.8563707,0.07064616,0.5087305,-0.05321006)
2022-05-21T21:14:28Z;(2.629216,2.35282,0.7540664);(10.4073,61.9114,358.7727);(0.8534822,0.07228722,0.5130588,-0.05579554)
2022-05-21T21:14:28Z;(2.763764,2.343863,0.8275614);(11.18364,69.33012,357.7743);(0.8173462,0.06913485,0.5675212,-0.07131012)
2022-05-21T21:14:28Z;(3.106898,2.323947,0.9993714);(12.5446,78.29187,357.4264);(0.7691547,0.07061689,0.6292633,-0.08626664)
2022-05-21T21:14:28Z;(3.431982,2.330693,1.091784);(13.24265,84.19364,356.7742);(0.7345961,0.06678231,0.6680582,-0.09801508)
2022-05-21T21:14:28Z;(3.471258,2.332408,1.100025);(13.07565,85.50161,356.9425);(0.727216,0.06558631,0.6763873,-0.09672455)
2022-05-21T21:14:28Z;(3.474028,2.336143,1.112135);(11.64412,78.50352,357.3411);(0.7686822,0.06392621,0.6311185,-0.08204033)
2022-05-21T21:14:28Z;(3.467514,2.34112,1.128738);(8.305294,65.5888,358.3562);(0.8377638,0.05311739,0.5410217,-0.05124377)
2022-05-21T21:14:28Z;(3.645556,2.347656,1.231707);(7.717,61.28751,359.5421);(0.8582589,0.05586293,0.5087705,-0.03772867)
2022-05-21T21:14:28Z;(3.946674,2.359209,1.41171);(7.087208,59.13807,0.3133374);(0.868179,0.05510491,0.4923796,-0.02812675)
2022-05-21T21:14:29Z;(3.989906,2.361584,1.440146);(6.610599,57.77924,0.5627425);(0.8742218,0.05284913,0.4820663,-0.02356228)
2022-05-21T21:14:29Z;(3.992865,2.361927,1.445043);(6.269736,56.28131,1.111203);(0.8806816,0.05278644,0.4704422,-0.01725311)
2022-05-21T21:14:29Z;(4.036618,2.362928,1.459031);(6.292913,55.13638,1.407833);(0.8853695,0.05432989,0.4614736,-0.0145266)
2022-05-21T21:14:29Z;(4.319038,2.370298,1.55253);(6.821982,54.37785,1.281834);(0.8881773,0.05802238,0.455496,-0.01725215)
2022-05-21T21:14:29Z;(4.6286,2.376603,1.670996);(6.912151,53.53254,1.358485);(0.8914865,0.05914935,0.4488633,-0.01658154)
2022-05-21T21:14:29Z;(4.745464,2.379403,1.746761);(6.908679,44.74615,2.323611);(0.9233201,0.06340979,0.3787364,-0.004214158)
2022-05-21T21:14:29Z;(4.732029,2.378903,1.764402);(7.117207,26.77103,4.112883);(0.9708489,0.06863556,0.22874,0.02048191)
2022-05-21T21:14:29Z;(4.710639,2.37812,1.770921);(8.041814,10.78857,5.464499);(0.9923061,0.07420082,0.09034327,0.04075629)
2022-05-21T21:14:29Z;(4.700157,2.379442,1.772905);(7.568077,4.374603,6.531136);(0.9956173,0.06801012,0.03426463,0.05428372)
2022-05-21T21:14:29Z;(4.687932,2.381289,1.771646);(6.599796,358.036,7.279011);(0.9961196,0.05635161,-0.02072874,0.06434862)
2022-05-21T21:14:30Z;(4.671384,2.380109,1.767626);(6.357333,347.5447,8.699471);(0.9892542,0.04674888,-0.1121809,0.08127853)
2022-05-21T21:14:30Z;(4.656952,2.378205,1.759683);(7.706008,334.7255,8.897185);(0.9694957,0.04844048,-0.2227114,0.09017139)
2022-05-21T21:14:30Z;(4.654415,2.377483,1.752961);(8.55405,330.1926,7.903259);(0.9600555,0.05422361,-0.2608356,0.08554621)
2022-05-21T21:14:30Z;(4.656954,2.378302,1.741941);(8.280229,331.8804,6.654656);(0.9648625,0.05585176,-0.2459565,0.0736638)
2022-05-21T21:14:30Z;(4.663897,2.377435,1.740333);(8.601257,330.2437,4.605086);(0.9622012,0.06213032,-0.2587459,0.05795896)
2022-05-21T21:14:30Z;(4.677529,2.371881,1.743278);(11.53845,331.335,0.935631);(0.9637326,0.09537896,-0.2470821,0.03275389)
2022-05-21T21:14:30Z;(4.693257,2.371177,1.749229);(12.69069,338.4489,359.1254);(0.9764782,0.1099872,-0.1849823,0.01321048)
2022-05-21T21:14:30Z;(4.708676,2.369917,1.750939);(13.81953,344.2499,357.6633);(0.9835063,0.1219201,-0.1335596,-0.003571013)
2022-05-21T21:14:30Z;(4.718435,2.370242,1.751473);(13.35194,347.2235,357.4324);(0.9870942,0.1179792,-0.1078945,-0.009182413)
2022-05-21T21:14:30Z;(4.721486,2.372684,1.750087);(12.48125,346.0247,357.12);(0.9867111,0.1109018,-0.1181852,-0.01157568)
