time;position;rotationE;rotationQ
2022-05-25T09:24:13Z;(0.1382555,2.321392,-0.007535364);(4.494744,47.15106,2.479653);(0.9159536,0.04457989,0.3987788,0.004135856)
2022-05-25T09:24:13Z;(0.1412435,2.32159,-0.008910507);(4.574292,48.60291,2.382544);(0.9108114,0.04491276,0.4103646,0.002512936)
2022-05-25T09:24:13Z;(0.1436568,2.320867,-0.009971239);(4.816348,49.57063,2.184442);(0.9072541,0.04612473,0.4180458,-0.0003210902)
2022-05-25T09:24:14Z;(0.1458771,2.319927,-0.01039541);(5.363285,49.98636,2.122605);(0.9055763,0.0502152,0.4211899,-0.002995022)
2022-05-25T09:24:14Z;(0.1483256,2.318918,-0.010766);(5.753673,50.44604,1.912531);(0.9037468,0.05250062,0.4247887,-0.006305813)
2022-05-25T09:24:14Z;(0.161809,2.31677,-0.004025953);(6.804683,52.10004,1.976655);(0.8971435,0.06087173,0.4373967,-0.01058965)
2022-05-25T09:24:14Z;(0.3894901,2.3197,0.1449811);(8.840918,54.66077,2.375259);(0.8862743,0.07794443,0.4562373,-0.01702098)
2022-05-25T09:24:14Z;(0.7203261,2.326237,0.3291107);(10.77232,57.45506,2.647768);(0.8738528,0.09334798,0.4764931,-0.02493418)
2022-05-25T09:24:14Z;(1.052434,2.334078,0.4634017);(12.15074,59.87539,2.795404);(0.8627335,0.1037921,0.4938702,-0.03178419)
2022-05-25T09:24:14Z;(1.411463,2.344518,0.5129058);(12.39757,61.25288,2.892791);(0.8565918,0.1056703,0.5039533,-0.0333971)
2022-05-25T09:24:14Z;(1.74902,2.347539,0.5108726);(12.68118,62.05066,2.765016);(0.852823,0.1069709,0.5098316,-0.03635639)
2022-05-25T09:24:14Z;(1.999816,2.346034,0.4709742);(12.63802,63.58694,2.375105);(0.8458092,0.1043821,0.5216066,-0.04046735)
2022-05-25T09:24:15Z;(2.364144,2.349449,0.4916129);(12.24989,59.97458,1.997549);(0.8619907,0.1010625,0.4952683,-0.03830841)
2022-05-25T09:24:15Z;(2.692004,2.3538,0.6472683);(12.07548,54.93853,1.278799);(0.8828231,0.09843815,0.457644,-0.03866895)
2022-05-25T09:24:15Z;(2.998466,2.341203,0.8796899);(12.07576,52.10257,1.190683);(0.893849,0.09903197,0.4357336,-0.03690954)
2022-05-25T09:24:15Z;(3.34111,2.328974,1.163283);(12.68131,51.22909,1.678224);(0.89681,0.1058676,0.4281657,-0.03461482)
2022-05-25T09:24:15Z;(3.620483,2.335794,1.369413);(12.92319,51.98965,2.10776);(0.8938798,0.1091452,0.4335716,-0.03288867)
