time;position;rotationE;rotationQ
2022-05-21T12:39:59Z;(-0.2530482,2.389213,0.05161607);(15.05269,72.55139,1.820744);(0.8003641,0.1149013,0.5848219,-0.06479003)
2022-05-21T12:39:59Z;(-0.254142,2.286875,0.05190885);(14.32514,72.49075,1.887512);(0.8013046,0.1102063,0.5848948,-0.06052937)
2022-05-21T12:39:59Z;(-0.2552832,2.289937,0.05180378);(12.84717,72.17835,1.722074);(0.8039275,0.09919473,0.583921,-0.05382619)
2022-05-21T12:39:59Z;(-0.2548884,2.289816,0.05298122);(12.34989,71.80823,1.894071);(0.8062326,0.09675176,0.5815084,-0.04976045)
2022-05-21T12:40:00Z;(-0.2550918,2.290087,0.05582576);(12.77318,70.8625,2.224974);(0.8108544,0.1018053,0.5742596,-0.04875274)
2022-05-21T12:40:00Z;(-0.2552797,2.288621,0.06220753);(13.03378,68.3272,2.583071);(0.8233185,0.1064626,0.5556707,-0.0451888)
2022-05-21T12:40:00Z;(-0.2530858,2.279393,0.0676537);(17.60098,66.63972,2.646086);(0.8274996,0.1403445,0.5397489,-0.06495249)
2022-05-21T12:40:00Z;(-0.2492488,2.272269,0.0702119);(21.51,66.75943,2.668222);(0.8225424,0.1683696,0.536746,-0.0835417)
2022-05-21T12:40:00Z;(-0.2475365,2.268518,0.07015206);(24.47319,67.76068,2.5365);(0.8137583,0.1879759,0.5407671,-0.1001665)
2022-05-21T12:40:00Z;(-0.2463176,2.272,0.07077438);(22.04692,68.3315,3.096036);(0.8147542,0.1730445,0.5467519,-0.08540274)
2022-05-21T12:40:00Z;(-0.2475034,2.273352,0.07216983);(20.83019,66.90862,3.269588);(0.8230883,0.1662345,0.5376653,-0.07620734)
2022-05-21T12:40:00Z;(-0.2470084,2.276489,0.07339617);(19.17729,66.8132,3.294638);(0.8254179,0.1546018,0.5386631,-0.06801111)
2022-05-21T12:40:00Z;(-0.2453847,2.279732,0.07917172);(17.96687,67.29477,3.156618);(0.8243229,0.1450128,0.5434956,-0.06383872)
2022-05-21T12:40:00Z;(-0.2439028,2.287751,0.08967894);(13.72335,67.56744,2.887443);(0.8266013,0.1131769,0.5493996,-0.04562219)
2022-05-21T12:40:01Z;(-0.2441693,2.293766,0.09881495);(10.01462,67.36198,3.032171);(0.8299528,0.0872225,0.5503368,-0.02645501)
2022-05-21T12:40:01Z;(-0.2429653,2.294566,0.1091007);(9.497214,66.11001,3.301557);(0.8362246,0.08501534,0.5413473,-0.0210732)
2022-05-21T12:40:01Z;(-0.2414579,2.293097,0.1133645);(10.54825,65.09084,3.423856);(0.8404992,0.09345493,0.5331366,-0.02435202)
2022-05-21T12:40:01Z;(-0.2423245,2.292947,0.1096301);(10.62369,64.53992,3.379222);(0.8430021,0.09391791,0.5290771,-0.02458216)
2022-05-21T12:40:01Z;(-0.243796,2.292311,0.1012814);(10.83425,64.17413,3.363975);(0.8445665,0.09547254,0.5262593,-0.02537032)
2022-05-21T12:40:01Z;(-0.2428982,2.291452,0.09465305);(11.28322,64.31112,3.319818);(0.8436677,0.09853331,0.5270089,-0.02789354)
2022-05-21T12:40:01Z;(-0.04137373,2.29774,0.2215427);(11.36572,64.69346,3.149976);(0.8418123,0.09825826,0.5299115,-0.02985476)
2022-05-21T12:40:01Z;(0.2319557,2.306524,0.3981044);(11.4068,65.05649,3.096604);(0.8400903,0.09821528,0.5325941,-0.03074975)
2022-05-21T12:40:01Z;(0.6088495,2.318341,0.6381513);(11.62486,65.60471,3.039215);(0.8373839,0.09938643,0.5365106,-0.03266831)
2022-05-21T12:40:01Z;(0.8780653,2.329445,0.800279);(12.09829,66.75996,2.640502);(0.831506,0.1005805,0.5449528,-0.03883155)
2022-05-21T12:40:02Z;(1.282397,2.353497,0.9780656);(12.32937,68.97382,2.141929);(0.8204824,0.09902038,0.5611909,-0.04547671)
2022-05-21T12:40:02Z;(1.651753,2.349935,1.029423);(12.33085,70.95739,1.954587);(0.8105667,0.09728812,0.5754675,-0.04851653)
2022-05-21T12:40:02Z;(1.961996,2.3475,1.024238);(12.36449,72.02628,1.971312);(0.8051481,0.09715217,0.5829663,-0.04947641)
2022-05-21T12:40:02Z;(2.291186,2.342453,1.02496);(12.25616,71.49899,2.080271);(0.8079408,0.09716791,0.5792356,-0.04771014)
2022-05-21T12:40:02Z;(2.482321,2.331883,1.138994);(12.27052,71.23475,2.394051);(0.8093919,0.09895939,0.5770925,-0.04534257)
2022-05-21T12:40:02Z;(2.638292,2.323844,1.247306);(12.23236,71.9401,2.359218);(0.8058351,0.09823404,0.5821201,-0.04600079)
2022-05-21T12:40:02Z;(2.944088,2.314485,1.351719);(11.84668,73.31889,2.24614);(0.7989699,0.09440906,0.592133,-0.045964)
2022-05-21T12:40:02Z;(3.34695,2.326466,1.458999);(11.65388,74.36636,2.064856);(0.7935677,0.09170523,0.5996875,-0.04706655)
2022-05-21T12:40:02Z;(3.674714,2.336017,1.541882);(11.48693,74.56696,2.54286);(0.7928041,0.09297816,0.6008028,-0.0430403)
2022-05-21T12:40:02Z;(4.100457,2.34606,1.675438);(12.47408,74.38662,2.874806);(0.7932836,0.1015912,0.598568,-0.04578986)
2022-05-21T12:40:03Z;(4.456253,2.353212,1.799307);(12.53346,74.48528,2.944873);(0.792759,0.1023272,0.5991437,-0.04570532)
2022-05-21T12:40:03Z;(4.521057,2.354088,1.818913);(12.95828,74.78629,2.8112);(0.7908563,0.1044255,0.6010215,-0.04914163)
2022-05-21T12:40:03Z;(4.526826,2.353968,1.815733);(12.97945,75.54055,2.199383);(0.7865916,0.1010065,0.6067455,-0.05414113)
2022-05-21T12:40:03Z;(4.529608,2.354317,1.80106);(12.72126,82.31701,1.486183);(0.7491399,0.09188586,0.6529562,-0.06320293)
2022-05-21T12:40:03Z;(4.531507,2.350473,1.783649);(14.66032,92.9873,0.493638);(0.683201,0.09093322,0.7189856,-0.08959612)
2022-05-21T12:40:03Z;(4.53411,2.33754,1.772402);(21.19577,99.34727,0.4689895);(0.6366704,0.1220849,0.7488729,-0.1376069)
2022-05-21T12:40:03Z;(4.537663,2.314506,1.763732);(34.85529,104.7343,2.426301);(0.5874615,0.1988314,0.7515453,-0.2247996)
2022-05-21T12:40:03Z;(4.541739,2.293082,1.759619);(42.4123,106.3426,2.837102);(-0.5658309,-0.2352337,-0.7406335,0.2756125)
2022-05-21T12:40:03Z;(4.549948,2.259858,1.760461);(54.52749,106.558,5.312704);(-0.5479409,-0.3066263,-0.6990497,0.3421557)
2022-05-21T12:40:03Z;(4.551456,2.229215,1.761534);(64.11978,105.8354,5.756273);(-0.5316242,-0.3535999,-0.6591821,0.3972681)
2022-05-21T12:40:04Z;(4.552145,2.22294,1.760599);(65.37746,108.3367,6.763893);(-0.5176595,-0.3558642,-0.6624936,0.4080333)
2022-05-21T12:40:04Z;(4.551754,2.224622,1.760028);(64.18801,109.1407,6.681745);(-0.5155061,-0.3477068,-0.6711814,0.4035702)
2022-05-21T12:40:04Z;(4.550517,2.225033,1.759651);(62.83135,109.7752,6.424153);(-0.5139859,-0.3384553,-0.6802138,0.3982158)
2022-05-21T12:40:04Z;(4.552512,2.245201,1.754847);(57.03838,111.0739,5.411609);(-0.5152389,-0.3040766,-0.7108834,0.369745)
2022-05-21T12:40:04Z;(4.55306,2.281915,1.749004);(41.49543,114.1391,5.181206);(-0.5212864,-0.2278597,-0.7753931,0.2740545)
2022-05-21T12:40:04Z;(4.541703,2.298852,1.748963);(33.49312,116.0916,4.245797);(-0.5155033,-0.1824872,-0.8062802,0.2255365)
2022-05-21T12:40:04Z;(4.52574,2.283311,1.745686);(41.78464,120.2809,3.268194);(-0.473772,-0.2005816,-0.8048363,0.2958818)
2022-05-21T12:40:04Z;(4.502413,2.2544,1.725344);(53.83944,138.5797,9.075078);(-0.3478355,-0.2255876,-0.8187443,0.3972129)
