time;position;rotationE;rotationQ
2022-05-21T11:32:08Z;(-0.1731343,1.799604,0.1361539);(30.9574,78.45007,358.3558);(-0.7440726,-0.1979784,-0.6123353,0.1794605)
2022-05-21T11:32:08Z;(-0.173496,2.135426,0.1374123);(30.14094,78.34167,358.714);(-0.746712,-0.1947172,-0.6121345,0.17262)
2022-05-21T11:32:09Z;(-0.1779851,2.14902,0.1395768);(25.28843,76.86775,358.4782);(-0.7624547,-0.1633974,-0.6087594,0.1462064)
2022-05-21T11:32:09Z;(-0.1839339,2.16338,0.1412976);(17.36454,74.93859,358.2217);(-0.7830649,-0.1104636,-0.6031518,0.1039953)
2022-05-21T11:32:09Z;(-0.1917674,2.173141,0.1419949);(12.72443,72.88979,358.0634);(-0.7982476,-0.07915183,-0.5918128,0.07932956)
2022-05-21T11:32:09Z;(-0.1967125,2.178426,0.1415291);(9.650311,72.87338,358.5555);(-0.8009689,-0.0602061,-0.5926353,0.06006056)
2022-05-21T11:32:09Z;(-0.1989925,2.181983,0.1404399);(8.846045,73.02609,358.4491);(-0.8006333,-0.05394816,-0.5940182,0.05672767)
2022-05-21T11:32:09Z;(-0.1985898,2.183676,0.1388668);(8.209565,73.48116,358.5537);(-0.7986925,-0.0498265,-0.5973348,0.05290339)
2022-05-21T11:32:09Z;(-0.1975406,2.181607,0.1353567);(8.416599,74.27524,358.138);(-0.7942136,-0.04870867,-0.6029749,0.05721585)
2022-05-21T11:32:09Z;(-0.1958988,2.174095,0.1296082);(12.82046,74.25416,357.8432);(-0.7909055,-0.07771095,-0.6013803,0.08228794)
2022-05-21T11:32:09Z;(-0.1905953,2.166948,0.1177349);(18.27623,75.60113,357.5216);(-0.7778332,-0.1123711,-0.6077083,0.1141885)
2022-05-21T11:32:09Z;(-0.1926347,2.167798,0.110626);(16.98152,76.14941,357.8161);(-0.7767026,-0.1045864,-0.6120336,0.1058751)
2022-05-21T11:32:10Z;(-0.1965755,2.165848,0.1045506);(17.4891,74.8857,357.4633);(-0.782493,-0.107375,-0.6034272,0.1097763)
2022-05-21T11:32:10Z;(-0.1993647,2.167936,0.1004665);(17.36481,73.96642,357.7494);(-0.7877219,-0.1088839,-0.5969406,0.1063038)
2022-05-21T11:32:10Z;(-0.2006139,2.167261,0.09820294);(16.71725,73.02116,357.7228);(-0.7933336,-0.1051196,-0.5908566,0.1022743)
2022-05-21T11:32:10Z;(-0.2014256,2.154279,0.09539197);(22.68753,73.32069,358.0575);(-0.7844144,-0.1478408,-0.5879966,0.1307561)
2022-05-21T11:32:10Z;(-0.2008489,2.146256,0.09618753);(28.57334,72.41762,356.9161);(-0.7777099,-0.1836379,-0.5776109,0.1667639)
2022-05-21T11:32:10Z;(-0.1999648,2.145848,0.09611116);(27.07498,73.23492,356.8206);(-0.7761623,-0.1717225,-0.5848867,0.1612167)
2022-05-21T11:32:10Z;(-0.1990934,2.144681,0.09064238);(28.11793,77.16022,357.6536);(-0.7550604,-0.1774739,-0.6086903,0.1669821)
2022-05-21T11:32:10Z;(-0.1969069,2.143764,0.08673424);(28.44605,83.19026,359.065);(-0.7235752,-0.1784887,-0.6449909,0.1690187)
2022-05-21T11:32:10Z;(-0.1962348,2.14557,0.08709746);(27.79741,83.24989,358.2829);(-0.7231511,-0.1698745,-0.6474217,0.1704119)
2022-05-21T11:32:10Z;(-0.1957107,2.150269,0.08897822);(25.51252,82.74464,357.9331);(-0.7291572,-0.1540442,-0.6475196,0.1591175)
2022-05-21T11:32:11Z;(-0.1962844,2.157703,0.09331458);(22.4928,81.52332,357.5639);(-0.7400128,-0.1340751,-0.6433716,0.1430998)
2022-05-21T11:32:11Z;(-0.1996723,2.16896,0.1008554);(16.21571,76.99854,356.9199);(-0.7721539,-0.09377465,-0.6190262,0.1085878)
2022-05-21T11:32:11Z;(-0.204377,2.173462,0.1018422);(14.2279,74.14038,357.1689);(-0.7896696,-0.08400775,-0.6004109,0.09418766)
2022-05-21T11:32:11Z;(-0.2073956,2.176201,0.1019856);(12.74178,72.62994,357.631);(-0.7992679,-0.07722577,-0.5902891,0.08225583)
2022-05-21T11:32:11Z;(-0.2051979,2.176789,0.1071835);(12.83265,72.86652,357.4666);(-0.7978471,-0.07684168,-0.5920093,0.08402593)
2022-05-21T11:32:11Z;(-0.2023348,2.177234,0.1131157);(12.60709,73.31272,357.5252);(-0.7957789,-0.07524659,-0.5951686,0.08275365)
2022-05-21T11:32:11Z;(-0.2002893,2.176527,0.1177284);(12.99355,73.80432,357.3513);(-0.7927443,-0.07666698,-0.5985262,0.0862842)
2022-05-21T11:32:11Z;(-0.1991118,2.176241,0.1216376);(13.22259,74.11369,357.4164);(-0.7909656,-0.07836232,-0.600519,0.08723366)
2022-05-21T11:32:11Z;(-0.1998038,2.176496,0.1238449);(13.06352,73.87894,357.6293);(-0.7924986,-0.07854931,-0.598823,0.08477518)
